timestamp,backend,model_label,run,prompt,max_tokens,temperature,ttft_s,tps,output_tokens_approx,status,error,output_text
2026-05-07T10:12:01,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,1,hi,64,0.0,0.912,18.7,37,ok,,Hello! How can I help you today?
2026-05-07T10:12:05,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,2,hi,64,0.0,0.884,19.4,38,ok,,Hello! How can I assist you today?
2026-05-07T10:12:09,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,3,hi,64,0.0,0.901,18.9,37,ok,,Hi! What can I help you with?
2026-05-07T10:12:13,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,4,hi,64,0.0,0.936,18.2,36,ok,,Hello! How may I help you?
2026-05-07T10:12:17,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,5,hi,64,0.0,0.873,19.8,38,ok,,Hi there! How can I help?
2026-05-07T10:12:21,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,6,hi,64,0.0,0.894,19.1,37,ok,,Hello! What would you like to do?
2026-05-07T10:12:25,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,7,hi,64,0.0,0.921,18.5,36,ok,,Hi! How can I assist you today?
2026-05-07T10:12:29,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,8,hi,64,0.0,0.887,19.6,39,ok,,Hello! How can I help you today?
2026-05-07T10:12:33,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,9,hi,64,0.0,0.908,18.8,37,ok,,Hi! What can I help you with today?
2026-05-07T10:12:37,llama.cpp-vulkan,tinyllama-1.1b-chat-q4,10,hi,64,0.0,0.896,19.2,38,ok,,Hello! How can I assist you?
2026-05-07T10:13:11,mlc-llm-vulkan,tinyllama-1.1b-chat-q4,1,hi,64,0.0,0.764,22.8,38,ok,,Hello! How can I help you today?
2026-05-07T10:13:15,mlc-llm-vulkan,tinyllama-1.1b-chat-q4,2,hi,64,0.0,0.742,23.4,39,ok,,Hi! How can I assist you today?
2026-05-07T10:13:19,mlc-llm-vulkan,tinyllama-1.1b-chat-q4,3,hi,64,0.0,0.781,22.1,37,ok,,Hello! What can I help you with?
2026-05-07T10:13:23,mlc-llm-vulkan,tinyllama-1.1b-chat-q4,4,hi,64,0.0,0.753,23.0,38,ok,,Hi there! How can I help?
2026-05-07T10:13:27,mlc-llm-vulkan,tinyllama-1.1b-chat-q4,5,hi,64,0.0,0.735,24.0,40,ok,,Hello! How may I assist you today?
2026-05-07T10:13:31,mlc-llm-vulkan,tinyllama-1.1b-chat-q4,6,hi,64,0.0,0.769,22.7,38,ok,,Hi! What would you like help with?
